Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
GSM1587831_FL_lymph_node_biopsy_untreated_1063.CEL.gz	0.30201711929804426	0.3251157834662652	0	0.032630149521352195	0	0.04816511111961528	0.0046662451955113956	0.11122696077225355	0	0.004399680933530267	0	0.012729458358434918	0	0.03379901315285793	0.0007	0.022479863985818596	0	0.017991381243350184	0.007247530736562228	0	0	0	0	0.7648760671592465	0.9231455946527297
GSM1587832_FL_lymph_node_biopsy_untreated_1080.CEL.gz	0.11978585425866721	0.5827552853669806	0.09495496017964643	0.07282924175223075	0	0.02270405576676085	0.0005999999999999999	0.12133501912795988	0.006146485236987	0.021669047984123287	0	0.07996927978787821	0	0.044074059833089166	0.029210474879931444	0.029621500448362963	0	0	0.0003	0	0	0.005247034402260111	0	0.7874315494962492	1.2312187590263959
GSM1587833_FL_lymph_node_biopsy_untreated_575.CEL.gz	0.25671228832216764	0.24077431452818726	0.03350874109425284	0.10413861444811946	0.005171017980503671	0	0.016619943216997005	0.1397569274264652	0	0.07894611342478378	0	0.0581019709804359	0	0.09194654061161654	0.04558934048403083	0.04456913798122092	0	0	0.006552718233266678	0	0	0.0001	0	0.690177767338858	1.1224603208458688
GSM1587834_FL_lymph_node_biopsy_untreated_581.CEL.gz	0.08614022119475208	0.47894201849707363	0	0.11583509218743729	0	0.008373672733306959	0.033200575250521315	0.18257510914991412	0.004277813610965437	0.08013659320655127	0	0.04743337977603454	0	0.12782711027987056	0.030160483359137836	0.05366062664111867	0	0	0.007685082205931919	0	0	0	0	0.7105008768934069	1.2562477780926156
GSM1587835_FL_lymph_node_biopsy_untreated_598.CEL.gz	0.09212035102606414	0.5706811270767117	0	0.057899991694465025	0	0.08125043088129716	0.06285044044479378	0.0798316198896285	0	0.017602433674652376	0	0.0499018548628232	0	0.037338519554252304	0	0.055223252827995395	0	0.023132641425488893	0.0003	0	0	0	0	0.8199850160984812	1.1281287974790681
GSM1587836_FL_lymph_node_biopsy_untreated_639.CEL.gz	0.2872762473454051	0.3455679071965105	0.06742853407013456	0.047550904538450595	0	0.08307954703625478	0.008670849139445023	0.12442712630822132	0	0.049900667214918905	0	0.05665391860611252	0	0.047056018444029034	0.0031184930932338165	0.043834627825408846	0	0.026640892461562288	0	0.007483469699417568	0	0.0005999999999999999	0	0.8172625746970832	1.1992534513216837
GSM1587837_FL_lymph_node_biopsy_untreated_664.CEL.gz	0.0758317890054243	0.5507476122808308	0.0359287250214053	0.10945424739104444	0	0.04521848812320569	0.012813624068449821	0.2264875341614971	0	0.049304479562781875	0	0.07321232248557893	0	0.03638409314813188	0.011803736246652796	0.09401499634024553	0	0.03812928031367941	0.013984649909794157	0	0	0	0	0.7439891200420834	1.373315578058722
GSM1587838_FL_lymph_node_biopsy_untreated_666.CEL.gz	0.0683527632372216	0.5206053784393908	0.05130921586967995	0.08146596881919212	0	0.046989192357943084	0.010660282942210308	0.10590317145135335	0	0.017348490747048997	0	0.08833729322599355	0	0.02918844246534937	0.01880324818097632	0.04783019259851406	0	0.014925041132915127	0	0	0.0001	0	0	0.7086825387949756	1.101822479235351
GSM1587839_FL_lymph_node_biopsy_untreated_695.CEL.gz	0.2287920541734794	0.30991359425152115	0.05100557516968512	0.017060947192296505	0	0.042305217152645694	0.006824613569489389	0.1046377365147284	0	0.02282688571186742	0	0.03365520204258112	0	0.048875648223837345	0	0.01882323735512711	0	0.01944711715323687	0	0	0	0.0035767912917705432	0	0.6812679241156776	0.9077446198022661
GSM1587840_FL_lymph_node_biopsy_untreated_706.CEL.gz	0.36283326602440746	0.2589436245337377	0.01953337111500425	0.01958570533048508	0	0	0.008523254375842313	0.12274464973575486	0	0.009984306828035727	0	0.016833017358360597	0	0.03173902081302847	0.0009	0.04261932914929093	0	0.035706345459105344	0.012364267761670876	0	0	0	0	0.8087269944539932	0.9422633972152141
