""	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"
"ABCB4"	"0"	"19.3745073410244"	"0"	"201.716694703213"	"0"	"299.121654752615"	"0"	"0"	"0"
"ABCB9"	"5322.0822339696"	"1968.03487373467"	"615502.933376003"	"713.001252115355"	"1862.01588866033"	"4269.94534241"	"578.952339528229"	"10339.5892200342"	"420759.773590513"
"ACAP1"	"5975.59074371075"	"6440.53063663102"	"4928.57316864748"	"7202.57454951211"	"6088.95461920601"	"7430.18761049613"	"4365.00502092041"	"5843.75143213801"	"4395.90548038964"
"ACHE"	"1466.62840206138"	"850.811278233863"	"1528.68892137259"	"930.832721167886"	"746.457098047885"	"1426.91562406225"	"790.288835797491"	"460.403847869941"	"1050.98116191348"
"ACP5"	"28979.0463172534"	"27871.8066771083"	"20639.607225316"	"37638.1971335875"	"24864.7574977035"	"11828.5927241372"	"2768.68042232425"	"19718.3487030126"	"4549.20803383855"
"ADAM28"	"2633.98917018675"	"16681.1715447661"	"2884.50059648575"	"3236.22850588547"	"11486.1862798623"	"3991.8236254695"	"3500.25446799185"	"2448.41634801101"	"1831.42026548365"
"ADAMDEC1"	"15027.0640996761"	"10629.1165608661"	"17320.3196618179"	"14197.6777939635"	"10171.8281443744"	"12997.7623243502"	"7071.50356574662"	"10714.8223234667"	"11667.7364860014"
"ADAMTS3"	"1228.5990149737"	"996.116268213694"	"1251.61517254553"	"1665.42896970806"	"1400.3617220076"	"1224.32994992691"	"1344.52443803723"	"974.82066716525"	"941.770514248553"
"ADRB2"	"10196.2739780076"	"4294.76556077821"	"0"	"3214.47524570133"	"11412.7406713843"	"8872.14939796668"	"0"	"0"	"5432.72970977924"
"AIF1"	"20223.3725350654"	"25586.6838857193"	"19656.4525456764"	"0"	"7833.59724406405"	"15221.7402118576"	"13628.8417540577"	"18478.8558597331"	"0"
"AIM2"	"12714.0166253465"	"8880.03421412188"	"10548.4112822845"	"54173.5908028959"	"11860.4720535111"	"16850.3372456875"	"53852.0845986568"	"7419.34068272118"	"14512.1745595682"
"ALOX15"	"3133.13220559401"	"4622.15588625498"	"167175.293459284"	"10131.8004273476"	"7819.95552867865"	"2152.81072996803"	"57990.5837601815"	"699.70839941658"	"6844.19578848685"
"ALOX5"	"6633.85802598011"	"7250.12885251154"	"5983.17704286074"	"7924.83442374762"	"8185.19121188952"	"9049.41196089252"	"7596.2259568776"	"5745.3594844602"	"5296.2227106055"
"AMPD1"	"2726.31407117872"	"2716.66518938272"	"2038.57273203984"	"1999.98844233992"	"3793.89454947312"	"2064.75057385623"	"1356.69839210424"	"3268.26242428289"	"1403.87333059585"
"ANGPT4"	"458.302174649204"	"0"	"359.236896008871"	"451.366213849301"	"592.658960282667"	"280.184980131828"	"351.373945841875"	"0"	"0"
"ANKRD55"	"3689.45254876479"	"4852.51965447237"	"3070.27426948049"	"4893.99438187343"	"3695.39130924823"	"5248.92526172516"	"3603.96646328806"	"3269.53426181176"	"3163.07428561405"
"APOBEC3A"	"11086.6162246462"	"9898.83536103029"	"9468.37989129563"	"223097.102236955"	"10254.1830209167"	"16803.5285326902"	"7864.12886126525"	"7039.55105711155"	"932020.648948876"
"APOBEC3G"	"15614.7469243543"	"17180.4506254602"	"19709.8222745088"	"16358.1983197946"	"17200.7295948036"	"23654.8797070216"	"13091.2255079206"	"16226.9327555163"	"12853.4675885595"
"APOL3"	"16415.6539334385"	"12068.8553726954"	"13179.5181105865"	"11483.0432566456"	"9522.02040571483"	"15817.5051770288"	"8960.05855323528"	"4520.42149395662"	"0"
"APOL6"	"1116.78870253686"	"638.512809118822"	"1247.33543672072"	"777.855201375865"	"710.814496539967"	"1355.85921016546"	"641.101840559002"	"327.096678526083"	"731.1676146978"
"AQP9"	"13756.8335339758"	"12007.1142417895"	"10484.9827768915"	"24484.1627117641"	"18215.0120247657"	"19684.7651339906"	"10205.1278250364"	"11777.9915219753"	"9154.55756013487"
"ARHGAP22"	"3960.22741254958"	"1764.31651826979"	"3077.85784560297"	"0"	"2927.82650906848"	"0"	"0"	"1477.23124490558"	"0"
"ARRB1"	"1634.57653194739"	"1385.33364337093"	"1831.85606452398"	"1287.55628418197"	"972.533411056552"	"1383.49561817091"	"1061.74314643743"	"1068.76280479344"	"1326.40939410229"
"ASGR1"	"1149.65714371435"	"1359.22541400145"	"1136.60176537394"	"700.366263513709"	"808.554320745988"	"571.729325027252"	"1187.65917397992"	"1032.53519456325"	"1489.44213339383"
"ASGR2"	"1838.41397984709"	"2235.01613402477"	"1838.25385036876"	"1007.98928793"	"1100.62706461883"	"838.789787818143"	"1566.27371399911"	"1782.87352308748"	"2131.13821149611"
"ATHL1"	"6013.48201182482"	"10001.7450094661"	"6577.38981702184"	"9569.33105928395"	"6055.74554571414"	"10292.3988162886"	"5653.62319374843"	"6933.84640016826"	"4820.39518880993"
"ATP8B4"	"4767.11501520131"	"4026.01014405029"	"4788.16373934613"	"6138.05149381788"	"4917.56868925523"	"4767.14930804022"	"4060.6063248045"	"3772.93489798961"	"3579.51137205171"
"ATXN8OS"	"0"	"0"	"0"	"0"	"261.320091340926"	"101.568683231923"	"137.674819723518"	"0"	"0"
"AZU1"	"0"	"0"	"1803.22779070338"	"2162.41121528889"	"0"	"1618.93824192884"	"36.2933869343594"	"0"	"1211.38001692263"
"BACH2"	"4726.6197509061"	"5238.0943921305"	"4812.8815315104"	"6282.67171344552"	"4384.25443353059"	"7962.06333012956"	"6975.228440899"	"5349.86887976393"	"3559.43443089844"
"BANK1"	"0"	"1685.76382628081"	"5382.79990525766"	"0"	"0"	"14380.4670906492"	"0"	"4264.86516685131"	"1750.94196174282"
"BARX2"	"1479.37662237611"	"595.302017873465"	"1007.29135562473"	"1652.46651149579"	"851.39280893555"	"16617.6155386193"	"2567.42259540722"	"864.576896041756"	"183101.11840478"
"BCL11B"	"15655.793091409"	"139808.335082678"	"17751.3450388859"	"16256.5245680031"	"64581.9644674971"	"28505.3350263139"	"12253.3310924381"	"16634.4070666767"	"17141.2494177263"
"BCL2A1"	"35277.7111987496"	"22957.68119993"	"21908.4249470401"	"36516.1011980389"	"34936.1672755536"	"38009.59730663"	"21166.7101737709"	"18007.1805878454"	"28545.0617610707"
"BCL7A"	"1764.41654890016"	"1563.41153253169"	"1657.808505884"	"1672.56927525516"	"0"	"0"	"1555.07043548111"	"789.501357199322"	"1370.04295105443"
