""	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"
"ABCB4"	"413.165415248124"	"403.092466830875"	"304.65610973869"	"614.477993826761"	"298.765205696864"	"566.912629472367"	"704.365679182366"	"461.105213621621"	"317.449924435291"
"ABCB9"	"790.056147680688"	"778.189545264541"	"576.077266944692"	"695.606915580819"	"966.516671635797"	"583.302426803347"	"388.153923454943"	"804.893689853369"	"439.411599067825"
"ACAP1"	"5977.41179823621"	"6442.55819562386"	"4938.12864707868"	"7203.59036986907"	"6093.50492117272"	"7433.71452103414"	"4369.57353165603"	"5844.68459913939"	"4396.42614152286"
"ACHE"	"1468.49064052044"	"852.108225936501"	"1529.75376211045"	"935.091558745204"	"747.266192916589"	"1427.73174334026"	"796.222098767185"	"461.152263783506"	"1052.36753095206"
"ACP5"	"29190.3035343471"	"30030.6395888753"	"24396.1779221754"	"37744.1196649522"	"24883.1740488645"	"23679.2790782967"	"15064.5444772558"	"20822.2476317347"	"21764.6671392065"
"ADAM28"	"2537.71227346343"	"2602.4169821772"	"2569.24793444441"	"2719.21615725593"	"2714.30187651172"	"3812.2471674126"	"3344.69309110953"	"2370.59806185047"	"1711.45300869805"
"ADAMDEC1"	"15027.1759265088"	"10627.445828147"	"17318.5777936977"	"14199.6028026696"	"10171.4543551858"	"12997.184992847"	"7071.86488867103"	"10715.095877715"	"11668.7034804181"
"ADAMTS3"	"1224.49434606287"	"994.408256911578"	"1248.42194734929"	"1664.47072588683"	"1395.79693138733"	"1222.19682626141"	"1342.56037513283"	"973.594271769566"	"937.801820242133"
"ADRB2"	"0"	"0"	"11799.4816727056"	"11747.9263977649"	"11473.9248278491"	"9120.91179111616"	"0"	"8830.20186978424"	"9519.79035721012"
"AIF1"	"20519.2446369794"	"25638.1114352616"	"20812.9688681654"	"22236.666436081"	"15392.6328098401"	"15258.4323272862"	"15469.5503815688"	"21284.9468529657"	"19388.1677152026"
"AIM2"	"11383.8335431172"	"8796.00951149441"	"9719.16764980618"	"7931.87855611394"	"10602.954176764"	"13602.3553907728"	"7349.62870669811"	"6721.85841366215"	"6115.31054169583"
"ALOX15"	"2777.06145044257"	"3582.45533667836"	"892.585417176679"	"3441.08079479819"	"1692.35281347383"	"2135.7176195728"	"1990.50606900804"	"612.29756222498"	"1807.77488212039"
"ALOX5"	"6634.0750038444"	"7247.70228522363"	"5982.91766227523"	"7924.70219828254"	"8184.30402140076"	"9049.08889342619"	"7599.09308151174"	"5745.69597617038"	"5295.8746391529"
"AMPD1"	"2726.09143302868"	"2719.86560269533"	"2037.02557221986"	"2000.8901211923"	"3790.77320332779"	"2065.73879637501"	"1338.93419519081"	"3262.76878322862"	"1404.51363937313"
"ANGPT4"	"549.77015193696"	"458.104803290063"	"370.600333660308"	"508.572128859098"	"593.746250113599"	"510.389569020144"	"357.544183317374"	"520.816563628347"	"307.479470158423"
"ANKRD55"	"3685.11206416671"	"4849.78054782366"	"3068.75942498872"	"4884.58227168325"	"3691.50690738189"	"5245.0699367053"	"3601.83067860919"	"3267.57770242996"	"3162.35201765706"
"APOBEC3A"	"10699.6022093002"	"8443.90347987875"	"8618.51397897072"	"11029.4944024154"	"10083.536068836"	"12171.2918560234"	"7199.2724511983"	"6078.99920736931"	"9169.79194600026"
"APOBEC3G"	"15607.7110442613"	"17167.3241958862"	"19705.0472347471"	"16354.8766026131"	"17198.5619374873"	"23653.029671554"	"13087.6048347037"	"16226.0317534101"	"12849.4669451112"
"APOL3"	"17510.0241723369"	"14815.1255446479"	"17149.459290969"	"11903.4697014102"	"22475.4239079368"	"18589.4235666095"	"12498.9752601364"	"30932.2520157742"	"69014.5111349478"
"APOL6"	"1120.30967197629"	"641.380734609344"	"1248.77615008203"	"783.5329147952"	"713.558462370228"	"1358.10331260599"	"643.216533968295"	"328.258209655489"	"733.478638423236"
"AQP9"	"13753.5516862213"	"12002.0805869847"	"10481.5469766155"	"24482.1356993873"	"18211.8502404251"	"19683.8053136558"	"10199.4349334614"	"11777.0107042089"	"9151.74614284467"
"ARHGAP22"	"4031.32998617194"	"1784.94916008195"	"3079.26876922265"	"2891.60919052208"	"3396.54022706189"	"3036.24310750659"	"728.196273335464"	"1481.52706752909"	"3699.34904252886"
"ARRB1"	"1634.89801689061"	"1385.2042200814"	"1834.05545141661"	"1286.23132321425"	"972.22112147151"	"1382.68501894384"	"1061.04839684384"	"1067.64416513285"	"1325.97218475476"
"ASGR1"	"1147.35484958796"	"1349.19586570772"	"1133.52693661559"	"697.874497126375"	"806.693449432546"	"568.891321003695"	"1184.30636483992"	"1028.69757798006"	"1482.99575684138"
"ASGR2"	"1838.29173105615"	"2237.23892356882"	"1838.60273042964"	"1009.94128421881"	"1100.77513303695"	"838.275208583586"	"1566.1899304398"	"1781.93693851351"	"2130.99034995129"
"ATHL1"	"6014.21360019376"	"10007.5761973707"	"6578.49700699702"	"9572.38675088866"	"6056.49070585656"	"10293.1273501815"	"5655.88801554901"	"6936.39061041289"	"4823.72630026484"
"ATP8B4"	"4757.29737629641"	"4021.74997977903"	"4784.47613353697"	"6137.53185164267"	"4916.23531515974"	"4763.20350745666"	"4058.04372966299"	"3770.75693038471"	"3577.67021764162"
"ATXN8OS"	"231.863831021777"	"233.092101140188"	"206.073592645865"	"211.554764299395"	"272.037143976522"	"211.883571401545"	"156.787336108484"	"237.218122584737"	"160.744194579615"
"AZU1"	"1938.50227462423"	"1351.15452915911"	"1806.9813299877"	"2346.09140176454"	"1941.8839224477"	"1853.3991902014"	"1458.76870100203"	"1561.17578631489"	"1396.92240914419"
"BACH2"	"4723.89502036629"	"5237.23474638679"	"4808.10133136714"	"6277.76345424778"	"4380.04808130159"	"7959.69284055292"	"6973.50170699118"	"5347.92125786396"	"3558.25261590395"
"BANK1"	"6815.10580640146"	"8888.30970746546"	"9356.00329857417"	"5753.21860956692"	"9190.16025282291"	"14612.7963067691"	"12205.2184034331"	"6136.62060939636"	"3111.66532419934"
"BARX2"	"540.045548015192"	"511.217210222954"	"533.333582847139"	"719.851031348279"	"692.305360954048"	"535.454605418761"	"357.629076415634"	"592.741532367912"	"595.064003039042"
"BCL11B"	"15628.3633429084"	"18929.0321313896"	"14174.7241192592"	"16226.0271284756"	"12719.6520689298"	"18992.3420368747"	"11942.6122572454"	"16548.5933298339"	"11399.6852611752"
"BCL2A1"	"35274.8174047201"	"22966.0156511125"	"21907.6934695123"	"36515.0018486468"	"34935.8835473185"	"38009.6213086169"	"21168.006804235"	"18007.5563583131"	"28544.5152209207"
"BCL7A"	"1980.59039753536"	"1806.78121251648"	"1711.66560896223"	"2247.86930961577"	"1936.94152167107"	"2429.7144825203"	"2133.80493321561"	"1726.78367947754"	"1372.74115102541"
"BEND5"	"1173.21288715872"	"1173.0485656134"	"1056.88815024668"	"1310.23967712214"	"1143.38839026145"	"1532.99195867346"	"1210.54085229387"	"1110.713939009"	"792.707766492807"
"BFSP1"	"298.634138393685"	"409.119236980529"	"365.813824689707"	"408.414892627754"	"277.337276426904"	"379.924873611872"	"290.566018310089"	"331.436379436157"	"342.911597170902"
"BHLHE41"	"4522.91754417474"	"3080.19136444284"	"5159.57110105382"	"7280.3050078348"	"5702.42900300332"	"3745.52828755535"	"1898.92669201587"	"4914.59293997589"	"3334.46185696177"
"BIRC3"	"22649.1856533367"	"10250.4204582036"	"15809.8873453182"	"17937.274813919"	"0"	"20710.4164669933"	"8510.45110123564"	"9895.9909637433"	"16091.4950914817"
"BLK"	"2080.75624067012"	"2950.22058152655"	"3223.43412210676"	"1418.06215418343"	"2920.49093558149"	"4510.36117064528"	"3321.44657735128"	"1864.71199378002"	"709.102205584936"
"BMP2K"	"7009.11627322842"	"5052.66915504173"	"6388.95361520333"	"8494.42111738909"	"7044.1459255596"	"6154.43236308196"	"6086.63836308344"	"4849.21097799497"	"5534.55382681242"
"BPI"	"1966.76844810402"	"1640.5943516867"	"2012.58437816418"	"2760.05171074054"	"2142.59799592914"	"2028.11097590501"	"1983.34822783591"	"1495.48181283854"	"1578.52710046169"
"BRAF"	"4910.82608227731"	"4412.75653142728"	"4103.65008478149"	"5709.88725426762"	"5294.89105815214"	"6460.50067650541"	"5334.00271324021"	"4418.37840832897"	"3870.83306719868"
"BRSK2"	"241.503839698372"	"222.363678038162"	"219.562178851657"	"256.947228550297"	"244.284080664121"	"231.500124244232"	"199.428393280665"	"232.529605908513"	"212.352263264944"
"BST1"	"2916.44603289753"	"3200.15307533367"	"2529.40108929664"	"3878.82368195849"	"3241.2813724704"	"3024.42473764671"	"2952.33435366635"	"2794.62839132257"	"2751.41149799634"
"BTNL8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"487.243148659991"	"220.847640090291"
"C11orf80"	"2899.67917245285"	"2753.06474902403"	"2297.1001368714"	"2354.00871270004"	"3633.72144606703"	"2637.05692594936"	"1897.72562077873"	"3134.68736694343"	"1621.03375161208"
"C1orf54"	"8909.35133354638"	"9120.25535103764"	"6236.88861050485"	"9744.0996081284"	"6035.5023816449"	"6928.07155464561"	"5093.07208726326"	"4531.53131021745"	"6522.67119327863"
"C3AR1"	"22624.7064162323"	"16830.2425271892"	"16927.2427399012"	"22259.4621172695"	"20326.0097171523"	"20769.8265099021"	"17266.3746749221"	"12365.0715653102"	"19412.3682766274"
"C5AR1"	"13977.3341241768"	"14836.0383476643"	"9873.72254448266"	"23931.6746158819"	"18636.1801509014"	"18119.0430172715"	"11444.119053439"	"13519.7886998051"	"11436.399166535"
"C5AR2"	"614.743987230603"	"623.298938313146"	"351.281951073091"	"886.553890383424"	"774.45080159578"	"863.073489387693"	"465.005473453393"	"475.618083520066"	"509.896845592157"
"CA8"	"481.478862423912"	"416.296314720131"	"376.390065607427"	"572.178783093584"	"528.846336204692"	"494.550463198437"	"458.190732272414"	"474.242665042714"	"382.653419014538"
