""	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"
"ABCB4"	"414.069938206559"	"402.53875047567"	"310.403529816773"	"614.80193376927"	"302.035351576211"	"565.557798124229"	"706.915641775788"	"461.059374477822"	"316.05620173252"
"ABCB9"	"794.174712977092"	"783.62896301033"	"579.795938653533"	"697.546665505738"	"970.797379776635"	"586.598649067886"	"396.426558251756"	"806.376983436704"	"441.208709600997"
"ACAP1"	"5979.19354177017"	"6441.33711136607"	"4930.22955538478"	"7204.20326020428"	"6090.82208245149"	"7431.86029865922"	"4368.09176255616"	"5844.53999729828"	"4396.69309171134"
"ACHE"	"1467.50276290119"	"846.156500188523"	"1529.06324309405"	"932.598928948095"	"746.407786608306"	"1426.25845956999"	"790.726748186237"	"452.184190744107"	"1051.13323042351"
"ACP5"	"29192.1965602284"	"30030.2483871553"	"24396.4350366839"	"37745.1546276077"	"24883.5977807523"	"23679.0407041904"	"15062.9617160366"	"20816.4508235108"	"21766.0455938359"
"ADAM28"	"2530.12864229833"	"2603.56639368185"	"2569.24971177019"	"2720.51688204523"	"2713.77193201478"	"3812.07099642568"	"3347.89728967792"	"2371.72409968179"	"1709.63112437195"
"ADAMDEC1"	"15024.9924020859"	"10614.912304642"	"17314.4304909531"	"14196.045944748"	"10167.6307499287"	"12995.410287273"	"7069.52220796156"	"10713.3230869732"	"11664.7689951225"
"ADAMTS3"	"1227.98988352674"	"995.092538813263"	"1253.35748724276"	"1666.63839884657"	"1398.37816551696"	"1223.28498263004"	"1344.48977405566"	"975.583497067403"	"939.689525268721"
"ADRB2"	"10670.2753812865"	"9722.29756711608"	"12116.0010560506"	"13250.1768432036"	"11664.0824230804"	"11901.2727284311"	"11417.6654194146"	"8904.52930811988"	"9551.54588381578"
"AIF1"	"20516.6711840863"	"25632.8033425386"	"20811.9531419004"	"22235.7529414199"	"15390.7917849817"	"15255.6392537458"	"15468.5975838722"	"21281.3959734628"	"19386.9213954263"
"AIM2"	"11385.2185026432"	"8795.87215414236"	"9718.99066798862"	"7931.3738883141"	"10602.0662229005"	"13601.972249947"	"7350.0571372012"	"6721.08062809986"	"6113.56370957097"
"ALOX15"	"2774.94879222702"	"3581.454121388"	"892.660346050195"	"3442.49752016728"	"1691.2973576437"	"2135.78974695087"	"1990.90517620696"	"610.020453059967"	"1807.6390037537"
"ALOX5"	"6635.80837166908"	"7251.0500040469"	"5988.26597005448"	"7925.54766255822"	"8185.70580578165"	"9051.41480666509"	"7600.54758135573"	"5746.84961115539"	"5298.39573259268"
"AMPD1"	"2725.09880618962"	"2715.91423720693"	"2036.41509897322"	"1996.81494736195"	"3789.47022429249"	"2062.37101970825"	"1337.77033494376"	"3257.94924714098"	"1402.17074525839"
"ANGPT4"	"546.980719652845"	"457.750707038602"	"367.294443915876"	"508.959839020857"	"587.887839678871"	"512.34259067914"	"360.157798542572"	"527.389122187813"	"308.752498455343"
"ANKRD55"	"3686.84654960924"	"4848.7880788908"	"3069.62548069296"	"4888.10259347666"	"3691.98767241023"	"5245.59780045546"	"3602.23250399456"	"3266.71424552985"	"3156.28326776051"
