""	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"
"ABCB4"	"413.762458656795"	"403.349222398328"	"307.992563913677"	"616.38372860402"	"299.13639145267"	"565.263029362718"	"703.471445812886"	"462.534137190823"	"315.547642109831"
"ABCB9"	"789.107069995394"	"776.08319450125"	"577.958964786714"	"696.633972540241"	"966.8820436823"	"584.582563410778"	"385.46987853764"	"804.903886581335"	"438.786921906978"
"ACAP1"	"5977.33321044276"	"6441.26988980614"	"4930.39766649002"	"7204.86631179025"	"6090.3789310231"	"7432.29503962046"	"4367.20521908961"	"5844.87638011536"	"4397.93084307334"
"ACHE"	"2153.84654503682"	"961.986443862025"	"9114.74737862242"	"1181.92863586124"	"2155.49589380713"	"7439.71271913366"	"818.77879926045"	"1885.94621655967"	"1059.78398503081"
"ACP5"	"29194.9429391306"	"30032.9574770717"	"24398.5798254871"	"37746.8633278207"	"24885.4389467238"	"23682.3257008165"	"15065.1100251416"	"20826.0329309184"	"21767.4133649983"
"ADAM28"	"1477.61789587399"	"2399.93717674146"	"1996.02970199283"	"2675.48927237684"	"0"	"1467.84097781995"	"3098.98609463973"	"1429.83374055923"	"0"
"ADAMDEC1"	"15026.8290326336"	"10627.4887007633"	"17316.2519906593"	"14199.5895250151"	"10170.0027774156"	"12996.5225559381"	"7071.43280875654"	"10714.3605620807"	"11670.3511338978"
"ADAMTS3"	"1510.94906158845"	"1027.78257408525"	"1628.84732866681"	"78975.7201152057"	"23889.406047276"	"121178.666739305"	"1388.84411308508"	"977.032651354549"	"67720.3993126829"
"ADRB2"	"10807.0490295382"	"15935.738281796"	"13318.1472197491"	"14001.5072809289"	"11830.7318443713"	"12038.3659273874"	"11532.5560706572"	"8933.36789020385"	"9643.48281985116"
"AIF1"	"20518.9153464515"	"25641.218056969"	"20815.8291955728"	"22240.9075243249"	"15396.436914195"	"15259.2054817229"	"15469.2242355408"	"21283.4226046322"	"19389.2650257949"
"AIM2"	"903.835252649891"	"8747.89048566525"	"8339.29233035924"	"0"	"9011.97536325047"	"13499.724529638"	"6633.11301424587"	"5941.23051667742"	"0"
"ALOX15"	"2774.67192969402"	"3579.63633931223"	"891.784382116803"	"3439.7455794348"	"1690.41790522127"	"2133.00394788367"	"1985.59028873446"	"607.30340170225"	"1804.10768219687"
"ALOX5"	"14316.6325295479"	"15977.4915256052"	"5981.24459012547"	"59130.447076599"	"9738.82627217151"	"24459.5710551959"	"42788.2004287435"	"7615.51752862919"	"5296.04798354939"
"AMPD1"	"0"	"1676.04927033908"	"0"	"0"	"3341.45254474205"	"1991.43027907623"	"0"	"518.9176422097"	"1257.81797312149"
"ANGPT4"	"551.506276098541"	"458.758227457104"	"372.106330439075"	"512.10686048392"	"595.591123153441"	"513.933766801291"	"365.636259550791"	"529.232498847803"	"310.092850540107"
"ANKRD55"	"3774.84005203053"	"29442.0591620333"	"6857.23699850692"	"5002.24985711021"	"3691.94933315026"	"6089.40692115675"	"11410.814080284"	"3513.12114853228"	"3184.66707229001"
"APOBEC3A"	"10702.5865476427"	"8454.39787581399"	"8621.09604656266"	"11032.6357102359"	"10086.7867226403"	"12173.4659240556"	"7200.75598896805"	"6081.63368496057"	"9171.40697440198"
"APOBEC3G"	"15608.4015426197"	"17180.9186420989"	"19706.7286897857"	"16356.2694430287"	"17199.4658962257"	"23655.0556332197"	"13092.9421846001"	"16228.4260892773"	"12854.245588615"
"APOL3"	"17671.2714622459"	"12606.5230203116"	"136690.730265228"	"11632.8571962287"	"23947.9644118648"	"17072.5005262352"	"10288.6139348019"	"11145.1383767158"	"32243.4140988003"
"APOL6"	"3136.65384003308"	"721.338923061383"	"1248.41411236949"	"40515.0320233339"	"734.824689693371"	"3081.51050589458"	"5308.81496075757"	"7878.44561326342"	"7683.85102080348"
"AQP9"	"13754.0478939689"	"12006.1597215471"	"10483.5742699781"	"24485.7767655747"	"18215.5414457315"	"19684.0519438724"	"10202.5598032657"	"11778.1514067953"	"9155.07825354701"
